,rate,source,c,MFPT
0,5.000345349769784,simulation,1,1212.063
1,10.0,simulation,1,906.853
2,19.998618696327437,simulation,1,682.988
3,50.003453497697855,simulation,1,507.146
4,100.0,simulation,1,410.786
5,199.9861869632745,simulation,1,412.095
6,500.0345349769783,simulation,1,435.441
7,1000.0,simulation,1,567.563
8,1999.8618696327449,simulation,1,811.829
9,5000.345349769783,simulation,1,
10,10000.0,simulation,1,
11,19998.61869632745,simulation,1,
12,50003.45349769783,simulation,1,
13,100000.0,simulation,1,
14,5.000345349769784,prediction,1,1500.3544400729525
15,10.0,prediction,1,1113.7318280940256
16,19.998618696327437,prediction,1,834.7542438306662
17,50.003453497697855,prediction,1,586.4116850679961
18,100.0,prediction,1,466.27519586020645
19,199.9861869632745,prediction,1,400.9107059616943
20,500.0345349769783,prediction,1,414.39257005621823
21,1000.0,prediction,1,570.5971755948875
22,1999.8618696327449,prediction,1,1213.756241709655
23,5000.345349769783,prediction,1,
24,10000.0,prediction,1,
25,19998.61869632745,prediction,1,
26,50003.45349769783,prediction,1,
27,100000.0,prediction,1,
28,5.000345349769784,simulation,2,1324.685
29,10.0,simulation,2,958.963
30,19.998618696327437,simulation,2,690.654
31,50.003453497697855,simulation,2,488.71
32,100.0,simulation,2,382.263
33,199.9861869632745,simulation,2,326.085
34,500.0345349769783,simulation,2,276.104
35,1000.0,simulation,2,265.573
36,1999.8618696327449,simulation,2,323.232
37,5000.345349769783,simulation,2,456.962
38,10000.0,simulation,2,
39,19998.61869632745,simulation,2,
40,50003.45349769783,simulation,2,
41,100000.0,simulation,2,
42,5.000345349769784,prediction,2,1545.4532137224717
43,10.0,prediction,2,1140.9134988767087
44,19.998618696327437,prediction,2,846.673631794568
45,50.003453497697855,prediction,2,578.4849151212208
46,100.0,prediction,2,439.3329452984229
47,199.9861869632745,prediction,2,346.31508384636203
48,500.0345349769783,prediction,2,287.2025379851371
49,1000.0,prediction,2,289.7313709985687
50,1999.8618696327449,prediction,2,343.13357116975254
51,5000.345349769783,prediction,2,605.2117931858536
52,10000.0,prediction,2,1298.4284209279463
53,19998.61869632745,prediction,2,
54,50003.45349769783,prediction,2,
55,100000.0,prediction,2,
56,5.000345349769784,simulation,3,1675.753
57,10.0,simulation,3,1146.849
58,19.998618696327437,simulation,3,881.966
59,50.003453497697855,simulation,3,567.724
60,100.0,simulation,3,417.662
61,199.9861869632745,simulation,3,308.691
62,500.0345349769783,simulation,3,233.775
63,1000.0,simulation,3,195.469
64,1999.8618696327449,simulation,3,170.404
65,5000.345349769783,simulation,3,156.683
66,10000.0,simulation,3,146.344
67,19998.61869632745,simulation,3,140.595
68,50003.45349769783,simulation,3,135.325
69,100000.0,simulation,3,138.191
70,5.000345349769784,prediction,3,1731.468561747557
71,10.0,prediction,3,1269.5677598333689
72,19.998618696327437,prediction,3,933.7672187523956
73,50.003453497697855,prediction,3,627.1649311177757
74,100.0,prediction,3,467.0320971144612
75,199.9861869632745,prediction,3,353.490050316929
76,500.0345349769783,prediction,3,257.3133905108973
77,1000.0,prediction,3,214.90218023447093
78,1999.8618696327449,prediction,3,191.30114410109536
79,5000.345349769783,prediction,3,177.72393306443428
80,10000.0,prediction,3,175.94411516007577
81,19998.61869632745,prediction,3,176.54713111245957
82,50003.45349769783,prediction,3,174.56796516957274
83,100000.0,prediction,3,173.34095840775132
84,5.000345349769784,simulation,4,2062.796
85,10.0,simulation,4,1452.36
86,19.998618696327437,simulation,4,1065.123
87,50.003453497697855,simulation,4,678.547
88,100.0,simulation,4,525.965
89,199.9861869632745,simulation,4,395.377
90,500.0345349769783,simulation,4,308.882
91,1000.0,simulation,4,279.14
92,1999.8618696327449,simulation,4,251.929
93,5000.345349769783,simulation,4,239.729
94,10000.0,simulation,4,228.791
95,19998.61869632745,simulation,4,228.574
96,50003.45349769783,simulation,4,224.119
97,100000.0,simulation,4,223.888
98,5.000345349769784,prediction,4,2052.0652558838374
99,10.0,prediction,4,1498.521764384671
100,19.998618696327437,prediction,4,1101.2880808050686
101,50.003453497697855,prediction,4,742.3671147884619
102,100.0,prediction,4,560.7429732812758
103,199.9861869632745,prediction,4,435.7204035948056
104,500.0345349769783,prediction,4,335.80807202809723
105,1000.0,prediction,4,292.77501210436816
106,1999.8618696327449,prediction,4,266.5771376492917
107,5000.345349769783,prediction,4,246.4814128415171
108,10000.0,prediction,4,239.06542886009004
109,19998.61869632745,prediction,4,234.9404759911035
110,50003.45349769783,prediction,4,231.3528711712005
111,100000.0,prediction,4,230.1743789914712
112,5.000345349769784,simulation,5,2683.537
113,10.0,simulation,5,1969.527
114,19.998618696327437,simulation,5,1355.658
115,50.003453497697855,simulation,5,920.266
116,100.0,simulation,5,692.962
117,199.9861869632745,simulation,5,517.921
118,500.0345349769783,simulation,5,433.131
119,1000.0,simulation,5,383.807
120,1999.8618696327449,simulation,5,354.508
121,5000.345349769783,simulation,5,336.751
122,10000.0,simulation,5,321.556
123,19998.61869632745,simulation,5,329.677
124,50003.45349769783,simulation,5,324.207
125,100000.0,simulation,5,324.759
126,5.000345349769784,prediction,5,2633.6911332089276
127,10.0,prediction,5,1918.8924939982212
128,19.998618696327437,prediction,5,1407.289600508881
129,50.003453497697855,prediction,5,952.5389635201485
130,100.0,prediction,5,724.1838722825833
131,199.9861869632745,prediction,5,568.9259478291913
132,500.0345349769783,prediction,5,444.93478674991377
133,1000.0,prediction,5,390.9852236707672
134,1999.8618696327449,prediction,5,358.27126782076243
135,5000.345349769783,prediction,5,334.8281387620495
136,10000.0,prediction,5,326.0292945247378
137,19998.61869632745,prediction,5,322.11757592841246
138,50003.45349769783,prediction,5,319.34870015597625
139,100000.0,prediction,5,318.4812808891741
